open,low,high,close,volume,weighted_sentiment,returns,volatility,rsi,ma_7,ma_30,regime
20879.67,20611.45,21465.62,21187.5,41151.35428763,0.8206363264591462,0.014741591114814767,0.01875402937860128,97.84633035776653,19599.231428571427,17436.154333333332,0
21191.46,20844.73,21595.0,21136.33,32656.47978348,0.4388144305258086,-0.002415103244837624,0.018881732044763164,96.79613969509793,20126.778571428575,17582.66,0
21135.01,20370.01,21650.21,20674.29,34600.25647175,0.3649714074134826,-0.021859991777191223,0.019861165911777317,87.84628550309598,20516.78142857143,17723.811666666665,0
20674.03,20656.52,21197.0,21084.22,23436.75404601,0.1091849119574935,0.019828008603923086,0.019970943256858335,89.06213022636337,20836.277142857143,17863.364,0
21084.05,20865.64,22754.73,22669.81,32810.59587882,0.5815749186056631,0.07520268712809863,0.02347915355934272,91.37686410121792,21226.981428571427,18058.139000000003,1
22671.09,22432.45,23375.6,22789.37,32657.60500465,0.4960714745521544,0.005273974506182277,0.023050182775717114,91.59753900791969,21488.745714285713,18257.267666666667,0
22789.34,22298.15,23082.82,22714.87,25548.28914044,0.6065629368478601,-0.0032690679909097575,0.023251511045167216,90.38939268037142,21750.912857142856,18455.18966666667,1
22714.81,22500.01,23180.55,22920.29,32380.77464386,0.2745215707100354,0.009043415172528046,0.023053496825271146,90.59678721560101,21998.454285714284,18657.962,0
22920.67,22460.17,23165.56,22636.17,39180.10567306,0.4683496524547708,-0.012396003715485437,0.023389613509409452,86.61466625863596,22212.717142857146,18851.533666666666,1
22636.19,22326.24,23824.66,23062.36,38496.91631901,-0.1098923655226827,0.018827831740086953,0.023341527037152355,86.47238822243345,22553.87,19056.347,1
23062.36,22853.61,23287.38,23010.47,30187.01702655,0.358568125963211,-0.0022499865581839806,0.023480059196995362,83.7620036335323,22829.04857142857,19266.73833333333,1
23011.37,22540.76,23511.9,23084.4,27185.13487749,-0.0157910261551538,0.0032128852648380946,0.023410977442407832,80.5683671092476,22888.27571428571,19484.896333333334,1
23084.38,22884.0,23196.99,23028.95,7466.33930339,0.3467935927816339,-0.002402055067491471,0.023639749375985345,74.754773698837,22922.50142857143,19698.27666666667,1
23029.56,22974.75,23966.0,23745.8,20952.76361397,0.2559744238853454,0.031128210361305975,0.023696654984733695,79.70396564160812,23069.777142857143,19936.466666666667,1
23744.34,22500.0,23802.99,22836.03,34312.28644397,0.8574585224900927,-0.03831288059362081,0.02603139344826583,65.18987691678291,23057.739999999998,20146.656000000003,1
22836.03,22719.68,23313.23,23128.86,22721.77475761,0.2743118640449312,0.01282315708991466,0.025880404436600408,67.576794217432,23128.124285714286,20363.898666666664,1
23127.15,22760.0,23813.57,23735.97,20292.22416962,-0.1534599531974111,0.026249023946705474,0.026005530525573153,76.3341326718434,23224.354285714286,20599.532666666666,1
23735.97,23367.87,24262.18,23493.84,16368.92138269,0.0639368307590484,-0.010200973459268847,0.026386830126987587,71.34167295503899,23293.407142857144,20827.01166666667,1
23497.29,23208.01,23720.0,23433.54,14215.66842983,0.3230407295482499,-0.0025666302315840994,0.026583228204261077,59.2684554799092,23343.28428571429,21046.648999999998,1
23433.47,23257.71,23589.67,23328.87,3567.13007478,0.7535510140080605,-0.004466674689355576,0.026577563871506824,56.57099845073028,23386.13,21263.42166666667,1
23329.47,22758.01,23433.2,22936.34,6574.34533251,0.1794213206871696,-0.016825932846297298,0.025815422916619195,52.50350991026839,23270.492857142857,21463.031000000003,1
22936.34,22637.51,23163.05,22764.07,12149.94486314,-0.0418635800480842,-0.007510788556500336,0.023767067992717657,48.22074514127433,23260.21285714286,21657.087666666666,1
22763.42,22748.11,23348.73,23244.67,9803.34759825,-0.110306544133595,0.021112217630678387,0.021989494354714017,56.63356967810017,23276.757142857143,21861.070666666667,0
23244.64,22669.09,23451.01,22964.38,7693.59195866,0.0143255035082499,-0.012058248191951004,0.022191314325854646,48.89677567546874,23166.53,22053.950666666668,0
22963.91,21700.0,23011.18,21800.63,19277.239648,0.0248426466218886,-0.05067630826523506,0.024714909964853152,39.105408754286366,22924.64285714286,22199.188333333335,1
21800.62,21467.43,21942.41,21628.97,12641.59512641,0.3393350724379221,-0.007874084372791024,0.02477734580213387,37.120567200157154,22666.847142857143,22322.011666666665,1
21628.97,21605.35,21904.0,21863.73,4695.91143894,-0.2168736785650253,0.010853961145629976,0.02434674678156652,40.005866692283405,22457.54142857143,22422.54433333333,1
21863.73,21631.0,22091.88,21789.8,5990.68642903,0.6372754655386272,-0.003381399239745453,0.024092909392563974,31.14371650021208,22293.75,22484.375,1
21789.79,21366.45,21903.03,21789.14,13246.3049252,0.3613693007401057,-3.0289401463101662e-05,0.01830581228728755,37.76280014681507,22154.47428571429,22512.112333333338,0
21789.0,21545.67,22331.76,22206.27,14879.72784164,-0.4176940924242923,0.019143940513485225,0.018742282840219372,39.520286065441546,22006.13142857143,22556.33133333333,0
22206.26,22054.17,24386.5,24329.04,23427.35072192,0.2476023263656175,0.09559327163003961,0.02717035567039549,55.01119570085088,22201.08285714286,22661.049333333332,1
24326.95,23510.73,25256.83,23516.15,30034.93494269,0.2111380897462368,-0.0334123335733757,0.028138861166596217,50.17192723416784,22446.157142857144,22740.376666666667,1
23516.95,23344.12,25025.0,24577.6,22795.35234631,0.3344293289893382,0.04513706537847373,0.029334117859918154,57.637902304068696,22867.390000000003,22870.487,1
24577.6,24407.67,24879.33,24636.23,6191.17379627,0.2278227633551547,0.002385505500944074,0.0291603007857593,58.7821026101256,23263.461428571427,22988.887333333332,1
24635.85,24192.7,25200.0,24281.31,9733.21021005,-0.4454876482486725,-0.014406425009021229,0.029363105054878498,59.08062832598091,23619.391428571427,23042.604,1
24278.81,23841.08,25128.11,24844.97,13977.17943437,0.4334853540767323,0.02321373929166093,0.029662184980347235,63.34406381859925,24055.938571428567,23111.124,1
24844.21,24153.96,25288.88,24454.43,16495.25564236,0.4078886878105902,-0.015719077141167825,0.02990059708127104,57.848408727604905,24377.104285714286,23169.109333333334,1
24454.08,23581.64,24480.0,24184.44,17390.31077874,-0.1781839257478714,-0.01104053539583627,0.029406127487844165,57.925823140706306,24356.447142857145,23211.24766666667,1
24184.9,23612.59,24600.95,23943.32,16847.70433307,0.3775770549263272,-0.009970046856573878,0.028299960591849856,65.81528791236045,24417.471428571425,23254.819333333333,1
23943.32,22520.0,24132.67,23186.88,20933.97488913,0.4099530298709869,-0.03159294533924284,0.029028136642347265,60.585224130269644,24218.79714285714,23258.969999999998,1
23186.88,22716.47,23220.56,23159.71,5937.43847794,0.2049422890799386,-0.0011717833533447797,0.028505457487549044,59.06114972102974,24007.865714285716,23263.94466666667,1
23159.71,23052.78,23689.77,23556.83,6063.45918348,0.2224456437996455,0.017147019543854558,0.028653057393359015,61.820405138009434,23904.368571428575,23279.692333333332,1
23556.83,23109.06,23895.51,23489.52,12098.67253518,-0.2874746060371399,-0.0028573454068311355,0.028654469452007364,61.27402488217962,23710.73285714286,23295.044666666665,1
23490.01,23027.24,23597.98,23145.32,9516.02766667,-0.0097350886639426,-0.014653343278193898,0.02880601885312788,56.286981753325094,23523.717142857142,23275.028666666665,1
23144.37,23025.17,23999.99,23631.52,12151.84539817,0.4552339062804266,0.021006406478717876,0.028876937260335432,44.01952109526651,23444.72857142857,23301.545,1
23632.12,23196.09,23798.62,23468.24,9239.93644458,-0.1390674876755681,-0.006909415898765703,0.028868916068943193,49.537729422639394,23376.860000000004,23312.857666666667,1
23468.79,21988.02,23477.28,22358.18,21715.09355721,0.4794478949039213,-0.04730052189682743,0.030211038848070415,28.784431733019318,23258.47428571429,23266.931333333334,1
22358.18,22150.71,22409.82,22350.95,2266.21497947,0.1206247206890221,-0.00032337158033435287,0.030122334118205012,27.938075856689423,23142.937142857147,23228.835,1
22349.74,22195.13,22654.64,22432.69,5291.96467583,0.1546327507495879,0.0036571152456605915,0.02818239259851931,31.15983090300567,22982.34571428571,23195.473333333335,1
22431.99,22264.73,22599.99,22410.31,10660.04864303,-0.0686909388412129,-0.0009976511956434342,0.02811716529750684,22.11016362794919,22828.17285714286,23164.854666666666,1
22410.13,21932.74,22557.03,22198.48,10381.24422759,0.5058100333719542,-0.009452345817617003,0.02813991988647538,23.05408175209685,22692.91,23140.25933333333,1
22198.09,21580.84,22281.55,21698.37,13343.72575834,0.4995922859758138,-0.022529020004973366,0.028538237508367793,21.852773544616525,22416.745714285713,23104.735999999997,1
21699.41,20050.0,21825.53,20367.01,21326.08097071,0.156243985146284,-0.061357604280874556,0.03118325198723807,17.526055901918312,21973.712857142855,23008.814,1
20366.97,19568.52,20369.78,20230.08,32126.59207482,0.305558071732521,-0.0067231272533374575,0.030853316479518847,19.747816620693627,21669.698571428573,22917.670666666665,1
20230.07,19900.5,20964.5,20620.54,18920.85100043,0.2171703269607142,0.019300961736186784,0.02318467052116138,25.81839583559517,21422.497142857144,22878.33433333333,1
20619.34,20446.24,22276.69,22219.08,19165.53317335,0.0640944600105285,0.07752173318448508,0.02813749495252223,39.632464973967814,21391.981428571427,22898.004666666668,1
22216.02,21882.63,24710.0,24220.0,38654.82408388,0.1910012029684506,0.09005413365449866,0.03255507602905696,54.355748911182026,21650.50857142857,22976.547000000002,1
24220.0,24052.0,26553.9,24762.65,44100.36444555,0.4985982571099255,0.022405037159372476,0.03287677162130286,59.42094833340907,22016.81857142857,23075.642,1
24761.61,23931.01,25300.0,24377.16,30128.4276161,0.3388375724355379,-0.015567396865844407,0.032900842510961675,54.39491782368931,22399.502857142856,23161.909333333333,1
